"activity","number","proportion","prevalence","w.number","w.proportion","w.prevalence"
0,2913,0.644469026548673,0.0137315482320632,3321.02215974603,0.734706271016672,0.00765034410388241
1,933,0.20641592920354,0.0246516613076099,718.404771263752,0.158931938778795,0.0161652961420865
2,330,0.0730088495575221,0.0484848484848485,241.169484922387,0.0533536737869551,0.0374288169478544
3,141,0.0311946902654867,0.0212765957446809,94.1111306852344,0.0208201073527913,0.0177845294545005
4,74,0.0163716814159292,0.027027027027027,50.8175316042085,0.0112423095514831,0.0554107811758918
5,46,0.0101769911504425,0.130434782608696,33.2777344349036,0.00736199850482806,0.0891221815505078
6,22,0.00486725663716814,0.0454545454545455,15.955629062599,0.00352984718753091,0.0431798742200037
7,16,0.00353982300884956,0.125,14.0653740660999,0.00311166804480135,0.108438831937371
8,11,0.00243362831858407,0.0909090909090909,7.76899974628835,0.0017187277165177,0.0441216752366615
9,4,0.000884955752212389,0,2.54488876382833,0.000563003088774189,0
10,9,0.00199115044247788,0.222222222222222,7.78142323211931,0.00172147615133953,0.107662839514058
11,2,0.000442477876106195,0,1.85252188247757,0.000409831485242473,0
12,2,0.000442477876106195,0.5,0.860388444553327,0.000190342838836086,0.475106942988309
13,1,0.000221238938053097,1,0.443852159487875,9.81929506320946e-05,1
14,1,0.000221238938053097,0,1.4006061399229,0.000309854636532899,0
15,5,0.00110619469026549,0,3.16324412267353,0.000699801200321591,0
16,0,0,NA,0,0,NA
17,0,0,NA,0,0,NA
18,1,0.000221238938053097,0,0.503393503213251,0.000111365220046623,0
19,0,0,NA,0,0,NA
20,2,0.000442477876106195,0,1.09451847609355,0.000242139181688278,0
21,1,0.000221238938053097,0,0.541883748691314,0.000119880376936713,0
22,0,0,NA,0,0,NA
23,0,0,NA,0,0,NA
24,0,0,NA,0,0,NA
25,1,0.000221238938053097,0,0.348083760444479,7.70062075277392e-05,0
26,1,0.000221238938053097,0,0.510133915244777,0.000112856394375064,0
27,0,0,NA,0,0,NA
28,1,0.000221238938053097,0,0.334500843848123,7.4001273046121e-05,0
29,0,0,NA,0,0,NA
30,1,0.000221238938053097,0,0.418154497041727,9.25078835528979e-05,0
31,0,0,NA,0,0,NA
32,1,0.000221238938053097,0,0.287908072296102,6.36936027576655e-05,0
33,0,0,NA,0,0,NA
34,0,0,NA,0,0,NA
35,0,0,NA,0,0,NA
36,0,0,NA,0,0,NA
37,0,0,NA,0,0,NA
38,0,0,NA,0,0,NA
39,0,0,NA,0,0,NA
40,0,0,NA,0,0,NA
41,0,0,NA,0,0,NA
42,0,0,NA,0,0,NA
43,0,0,NA,0,0,NA
44,0,0,NA,0,0,NA
45,0,0,NA,0,0,NA
46,0,0,NA,0,0,NA
47,0,0,NA,0,0,NA
48,0,0,NA,0,0,NA
49,0,0,NA,0,0,NA
50,0,0,NA,0,0,NA
51,0,0,NA,0,0,NA
52,0,0,NA,0,0,NA
53,0,0,NA,0,0,NA
54,0,0,NA,0,0,NA
55,0,0,NA,0,0,NA
56,0,0,NA,0,0,NA
57,0,0,NA,0,0,NA
58,0,0,NA,0,0,NA
59,0,0,NA,0,0,NA
60,0,0,NA,0,0,NA
61,0,0,NA,0,0,NA
62,0,0,NA,0,0,NA
63,0,0,NA,0,0,NA
64,0,0,NA,0,0,NA
